lambda,min D1,max D1
0.,1,1
.5e-1,.999719619750977,.999720573425293
.10,.998980522155762,.998981475830078
.15,.997889518737793,.997890472412109
.20,.99650764465332,.996508598327637
.25,.994865417480469,.994866371154785
.30,.992963790893555,.992964744567871
.35,.990780830383301,.990781784057617
.40,.988274574279785,.988275527954102
.45,.985398292541504,.98539924621582
.50,.982095718383789,.982096672058105
.55,.978309631347656,.978310585021973
.60,.973976135253906,.973977088928223
.65,.969027519226074,.969028472900391
.70,.96339225769043,.963393211364746
.75,.956995964050293,.956996917724609
.80,.949763298034668,.949764251708984
.85,.941628456115723,.941629409790039
.90,.932535171508789,.932536125183105
.95,.922449111938477,.922450065612793
1.00,.911360740661621,.911361694335938
1.05,.899289131164551,.899290084838867
1.10,.886277198791504,.88627815246582
1.15,.872387886047363,.87238883972168
1.20,.857695579528809,.857696533203125
1.25,.842280387878418,.842281341552734
1.30,.826225280761719,.826226234436035
1.35,.809608459472656,.809609413146973
1.40,.792503356933594,.79250431060791
1.45,.774979591369629,.774980545043945
1.50,.75710391998291,.757104873657227
1.55,.738937377929688,.738938331604004
1.60,.720538139343262,.720539093017578
1.65,.701961517333984,.701962471008301
1.70,.683261871337891,.683262825012207
1.75,.664488792419434,.66448974609375
1.80,.645691871643066,.645692825317383
1.85,.626917839050293,.626918792724609
1.90,.608209609985352,.608210563659668
1.95,.58961009979248,.589611053466797
2.00,.571157455444336,.571158409118652
2.05,.552888870239258,.552889823913574
2.10,.53483772277832,.534838676452637
2.15,.517035484313965,.517036437988281
2.20,.499508857727051,.499509811401367
2.25,.482285499572754,.48228645324707
2.30,.465386390686035,.465387344360352
2.35,.448830604553223,.448831558227539
2.40,.432637214660645,.432638168334961
2.45,.41681957244873,.416820526123047
2.50,.401390075683594,.40139102935791
2.55,.386358261108398,.386359214782715
2.60,.371731758117676,.371732711791992
2.65,.357516288757324,.357517242431641
2.70,.343713760375977,.343714714050293
2.75,.330327987670898,.330328941345215
2.80,.317357063293457,.317358016967773
2.85,.304800987243652,.304801940917969
2.90,.292656898498535,.292657852172852
2.95,.280920028686523,.28092098236084
3.00,.269585609436035,.269586563110352
3.05,.258647918701172,.258648872375488
3.10,.248099327087402,.248100280761719
3.15,.237934112548828,.237935066223145
3.20,.228141784667969,.228142738342285
3.25,.218715667724609,.218716621398926
3.30,.209646224975586,.209647178649902
3.35,.200923919677734,.200924873352051
3.40,.192538261413574,.192539215087891
3.45,.184481620788574,.184482574462891
3.50,.176742553710938,.176743507385254
3.55,.1693115234375,.169312477111816
3.60,.162178993225098,.162179946899414
3.65,.15533447265625,.155335426330566
3.70,.148767471313477,.148768424987793
3.75,.142470359802246,.142471313476562
3.80,.136431694030762,.136432647705078
3.85,.130642890930176,.130643844604492
3.90,.125094413757324,.125095367431641
3.95,.119777679443359,.119778633117676
4.00,.114683151245117,.114684104919434
4.05,.10980224609375,.109803199768066
4.10,.105127334594727,.105128288269043
4.15,.100649833679199,.100650787353516
4.20,.0963611602783203,.0963621139526367
4.25,.0922555923461914,.0922565460205078
4.30,.0883235931396484,.0883245468139648
4.35,.084559440612793,.0845603942871094
4.40,.0809545516967773,.0809555053710938
4.45,.0775051116943359,.0775060653686523
4.50,.0742015838623047,.0742025375366211
4.55,.071040153503418,.0710411071777344
4.60,.0680131912231445,.0680141448974609
4.65,.0651168823242188,.0651178359985352
4.70,.0623435974121094,.0623445510864258
4.75,.0596895217895508,.0596904754638672
4.80,.0571489334106445,.0571498870849609
4.85,.0547170639038086,.054718017578125
4.90,.0523891448974609,.0523900985717773
4.95,.0501613616943359,.0501623153686523
5.00,.0480289459228516,.048029899597168
5.05,.0459880828857422,.0459890365600586
5.10,.0440340042114258,.0440349578857422
5.15,.0421638488769531,.0421648025512695
5.20,.0403738021850586,.040374755859375
5.25,.0386600494384766,.038661003112793
5.30,.0370187759399414,.0370197296142578
5.35,.0354490280151367,.0354499816894531
5.40,.0339450836181641,.0339460372924805
5.45,.032505989074707,.0325069427490234
5.50,.0311279296875,.0311288833618164
5.55,.0298080444335938,.0298089981079102
5.60,.0285453796386719,.0285463333129883
5.65,.0273361206054688,.0273370742797852
5.70,.0261783599853516,.026179313659668
5.75,.0250692367553711,.0250701904296875
5.80,.0240077972412109,.0240087509155273
5.85,.0229911804199219,.0229921340942383
5.90,.0220174789428711,.0220184326171875
5.95,.0210857391357422,.0210866928100586
6.00,.0201930999755859,.0201940536499023
