𝜆,FI*,t1*
.163642298548548554e-2,0.,.923837155269663952e-12
.327284597097097108e-2,.319999999999999982e-27,.108065888807941987e-10
.490926895645645619e-2,.803600000000000038e-26,.365183622563488729e-10
.654569194194194216e-2,.802679999999999945e-25,.864302782187596337e-10
.981853791291291238e-2,.205695000000000001e-23,.292358318598122808e-9
.130913838838838843e-1,.205461799999999987e-22,.692488380952537844e-9
.196370758258258248e-1,.526570867000000002e-21,.233712208894017349e-8
.261827677677677687e-1,.525969708199999976e-20,.553977930882851466e-8
.392741516516516495e-1,.134794973767999996e-18,.186965858246103162e-7
.523655355355355373e-1,.134635516822200000e-17,.443167944643746824e-7
.751470217717717659e-1,.242120432115610001e-16,.130961150903634804e-6
.979285080080080084e-1,.201340729779387012e-15,.289801847092315677e-6
.149168835835835845,.583217484045423733e-14,.102400177424318627e-5
.200748817817817810,.627002488028068111e-13,.249501048677993308e-5
.252083649149149158,.387202683145662430e-12,.493799057705077624e-5
.299677609109109122,.154273231856756826e-11,.829194250628395001e-5
.348958397897897898,.520722694786479892e-11,.130840735989049013e-4
.399924660160160150,.154696145604078237e-10,.196803274485485223e-4
.450727472972972998,.401884847995533063e-10,.281496145447543295e-4
.502984410410410421,.964334922391026400e-10,.390813778428583745e-4
.549012349349349393,.193855752834798371e-9,.507738680146357918e-4
.600828906906906934,.397771909508280460e-9,.664719535148040414e-4
.652858228228228255,.770673091566516505e-9,.851698591203943158e-4
.702998120120120085,.138863367576761071e-8,.106196662017945710e-3
.748529945445445488,.228717803848868964e-8,.128029628623852994e-3
.802671689689689716,.398328362858589065e-8,.157607651006886267e-3
.848536848848848835,.619125856605915028e-8,.185919889703715859e-3
.901888932432432400,.100405176519909837e-7,.222828374264949763e-3
.949114566566566564,.150424164674378916e-7,.259247717726369487e-3
1.00092857207207198,.229061971043453701e-7,.303457085154221543e-3
1.05026775825825824,.335029188535231843e-7,.349875988923871049e-3
1.10174802302302299,.488762921806871368e-7,.402997509808833757e-3
1.14902297647647655,.680633557985790854e-7,.456162208982546628e-3
1.20001540040040044,.957960537034655478e-7,.518385986010416657e-3
1.25298219769769759,.134515437292716489e-6,.588567908075875905e-3
1.29908995045045050,.178620923926805167e-6,.654414833877561592e-3
1.34888758658658658,.239848901833454801e-6,.730651153147666771e-3
1.40033341741741735,.321437868743269817e-6,.815150764723628443e-3
1.45066312612612602,.423492085330040547e-6,.903614226517483981e-3
1.49935970720720713,.547795911818097414e-6,.994800778903985692e-3
1.55342895795795788,.721637231704795108e-6,.110264541675305283e-2
1.60201258458458451,.916572127498181205e-6,.120559869809693378e-2
1.65388597597597609,.117330049372938372e-5,.132197451611427031e-2
1.70089097847847848,.145722652801679972e-5,.143328616280103240e-2
1.75227986186186180,.183349634010782238e-5,.156146008263222200e-2
1.80063279629629625,.226100345093803102e-5,.168833714444004937e-2
1.85117554504504511,.279677510647189875e-5,.182755641090484502e-2
1.90059032032032027,.342245409933932001e-5,.197026941427262767e-2
1.95232301051051049,.420241596798706422e-5,.212675047614722642e-2
2.00214773973973958,.509273054330277945e-5,.228437080885968494e-2
2.05310072172172164,.616526670214889885e-5,.245263628230249931e-2
2.10363178728728739,.741371748930587215e-5,.262662895262694282e-2
2.15006458858858851,.874486578895037086e-5,.279280076943624412e-2
2.20328181881881902,.105157332345366386e-4,.299069956973460442e-2
2.25087994394394375,.123492311747093698e-4,.317446675068552928e-2
2.30162947297297293,.145961178637880219e-4,.337745491552173286e-2
2.35020324774774769,.170619304792855181e-4,.357856819872881017e-2
2.40413818218218234,.202039868499644640e-4,.380970399246389384e-2
2.45084187237237217,.233066166368685505e-4,.401649559760016046e-2
2.50385097847847859,.273053980769802743e-4,.425866012089269174e-2
2.55216302402402384,.314377754825937461e-4,.448624477430342294e-2
2.60500880930930911,.365467913486637613e-4,.474265921285161804e-2
2.65060578478478481,.414972643197637143e-4,.497013719514526661e-2
2.70253541741741721,.478059801776991382e-4,.523618969377766166e-2
2.75269687887887882,.546402336589923201e-4,.550018009832394308e-2
2.80282557107107122,.622634460495768689e-4,.577079445335401155e-2
2.85276984884884888,.707165375324900685e-4,.604708985884385482e-2
2.90075066416416405,.797113075987005489e-4,.631871731151753113e-2
2.95261919619619606,.904774176969304507e-4,.661908037339194958e-2
3.00205366816816799,.101826356854623837e-3,.691174654559413744e-2
3.05408112212212224,.115008140724375452e-3,.722638457757083467e-2
3.10117849649649635,.128116376168782597e-3,.751694903817093276e-2
3.15322991191191182,.143997889558882621e-3,.784428704310140973e-2
3.20308609759759744,.160678120697421711e-3,.816379230365304499e-2
3.25282093193193189,.178847719929543163e-3,.848819463374847830e-2
3.30476915915915903,.199565925994352991e-3,.883292008357219709e-2
3.35261537287287270,.220320604102102710e-3,.915559025437935083e-2
3.40161644044044031,.243339776763138886e-3,.949102241293243477e-2
3.45571944144144139,.270952603773664722e-3,.986702685784544668e-2
3.50470527727727710,.298058303003311703e-3,.102123923194676648e-1
3.55480246996997007,.327964568995176909e-3,.105702403787185858e-1
3.60575002452452464,.360766183542039201e-3,.109387796850284585e-1
3.65258074124124121,.393148775070295336e-3,.112814629947631580e-1
3.70250076876876877,.430136230684848627e-3,.116506934096898621e-1
3.75204080180180188,.469477930803019884e-3,.120209291015702206e-1
3.80503323823823836,.514603765573196613e-3,.124209335085970207e-1
3.85179676776776780,.557152297268572166e-3,.127771198102459918e-1
3.90575217317317325,.609559192611217743e-3,.131915601219852168e-1
3.95444276676676676,.660024215811397448e-3,.135685275109327826e-1
4.00261956406406405,.713034261527944351e-3,.139440683137356230e-1
4.05442509809809781,.773578786341059025e-3,.143504842272591266e-1
4.10644019619619627,.838193712582690868e-3,.147609818462927367e-1
4.15376623373373377,.900427820092583988e-3,.151363677565161114e-1
4.20402438338338325,.970225911642175936e-3,.155367490990616988e-1
4.25307142542542582,.104213493021734121e-2,.159289760412059771e-1
4.30623893643643640,.112444197999036631e-2,.163555505284260216e-1
4.35224361561561590,.119941741353739285e-2,.167256071886353920e-1
4.40508166216216246,.128994293870827634e-2,.171514598576396858e-1
4.45475220370370373,.137944815777716234e-2,.175523451968028522e-1
4.50394298198198229,.147239460591546247e-2,.179496545593306467e-1
