𝜆,FI*,t1*,t2*,t3*
.163642298548548554e-2,0.,.253640139427583713e-12,.253570967053629574e-12,.253501822972816471e-12
.327284597097097108e-2,.700000000000000058e-29,.202967449030223017e-11,.202856750606374631e-11,.202746142720197493e-11
.490926895645645619e-2,.142000000000000001e-27,.685201928988702808e-11,.684641403704506683e-11,.684081565940552889e-11
.654569194194194216e-2,.141600000000000007e-26,.162462516614343938e-10,.162285326761652863e-10,.162108426629309348e-10
.981853791291291238e-2,.737700000000000041e-26,.590984976968063592e-11,.590018272100083535e-11,.589053937227746315e-11
.130913838838838843e-1,.401294999999999998e-24,.130123888322210405e-9,.173121002995442477e-9,.129557242702568141e-9
.196370758258258248e-1,.102847240000000002e-22,.439641234645241586e-9,.584278936953355671e-9,.436772504991998966e-9
.261827677677677687e-1,.102730885999999999e-21,.104322371012252533e-8,.138493680250528998e-8,.103415125762105422e-8
.392741516516516495e-1,.263285422500000004e-20,.352803060851292974e-8,.467376269844982531e-8,.348209170871116274e-8
.523655355355355373e-1,.262984853550000001e-19,.838261004585527452e-8,.110794627005831703e-7,.823756966658043338e-8
.751470217717717659e-1,.472983540094000021e-18,.248667334826123323e-7,.327417075585244319e-7,.242516056303514448e-7
.979285080080080084e-1,.393373644538500019e-17,.552396878961485297e-7,.724558037116430923e-7,.534657304998814937e-7
.149168835835835845,.113997079657606004e-15,.196896972445528422e-6,.256044270827245979e-6,.187347452215547824e-6
.200748817817817810,.122631684205337807e-14,.484012612890128875e-6,.623946132497296984e-6,.452692185594300760e-6
.252083649149149158,.757913867279490241e-14,.966483370418240522e-6,.123510198018192491e-5,.888621380688593213e-6
.299677609109109122,.302249289691670233e-13,.163646716275259070e-5,.207442097548810862e-5,.148098303472517578e-5
.348958397897897898,.102131538764931110e-12,.260469659792489991e-5,.327409245083076574e-5,.231889241644018519e-5
.399924660160160150,.303811651957764236e-12,.395337907216145255e-5,.492616215371109833e-5,.346046276013065881e-5
.450727472972972998,.790448821429572586e-12,.570621534987840555e-5,.704846518894465590e-5,.491117736659805602e-5
.502984410410410421,.189996864354490672e-11,.799703517968982244e-5,.978949857381070439e-5,.676449470846742418e-5
.549012349349349393,.382580186471775602e-11,.104766384511069689e-4,.127231586939134636e-4,.872773092209486561e-5
.600828906906906934,.786629697773395469e-11,.138460859627354135e-4,.166646291109908291e-4,.113384569845945025e-4
.652858228228228255,.152750816008106423e-10,.179113602856418815e-4,.213631643983688385e-4,.144172243705190625e-4
.702998120120120085,.275879533452644666e-10,.225416234414660004e-4,.266515926109646774e-4,.178461819470544940e-4
.748529945445445488,.455430318674753560e-10,.274075342601935165e-4,.321476883284455746e-4,.213750357191129679e-4
.802671689689689716,.795465886352638996e-10,.340838194951930852e-4,.396009950667911521e-4,.261119830425821862e-4
.848536848848848835,.123963570835453333e-9,.405563398215880063e-4,.467430253426174457e-4,.306054984562272646e-4
.901888932432432400,.201683658848266661e-9,.491029797214563926e-4,.560642656788142864e-4,.364117055788228743e-4
.949114566566566564,.303069516767339807e-9,.576469432936096491e-4,.652733489032165091e-4,.420908377684561010e-4
1.00092857207207198,.463118327787121105e-9,.681539400509051564e-4,.764667798465921110e-4,.489261482719053522e-4
1.05026775825825824,.679733245173175916e-9,.793340091043089101e-4,.882361590424867001e-4,.560420333246688468e-4
1.10174802302302299,.995439154832454036e-9,.923009897113799560e-4,.101724976107041783e-3,.641175646794983200e-4
1.14902297647647655,.139131295266300845e-8,.105450848364933400e-3,.115245449515350925e-3,.721350514833622372e-4
1.20001540040040044,.196632225942216308e-8,.121046751677226125e-3,.131095265483344067e-3,.814453569709934722e-4
1.25298219769769759,.277349209944738540e-8,.138887374955870579e-3,.149004281195855607e-3,.918614453735629605e-4
1.29908995045045050,.369786580167896786e-8,.155853800923461979e-3,.165837223256598001e-3,.101560537937315633e-3
1.34888758658658658,.498807903390320602e-8,.175758502925213417e-3,.185361670326506558e-3,.112709662978706555e-3
1.40033341741741735,.671758064567980077e-8,.198132589687446503e-3,.207046056010999776e-3,.124976128210629861e-3
1.45066312612612602,.889430724163958093e-8,.221891288120718385e-3,.229795867711179064e-3,.137725172571447990e-3
1.49935970720720713,.115621602314021544e-7,.246724475496375324e-3,.253296657706955815e-3,.150776523975802804e-3
1.55342895795795788,.153183923778116291e-7,.276525146649571351e-3,.281155915992635584e-3,.166105021262149887e-3
1.60201258458458451,.195595335981450157e-7,.305393051674467434e-3,.307816653233902282e-3,.180639839255580304e-3
1.65388597597597609,.251844270106634329e-7,.338498986790305729e-3,.338028751595328221e-3,.196964438184910116e-3
1.70089097847847848,.314494204805009733e-7,.370619647673666472e-3,.367000214687439135e-3,.212483249796614510e-3
1.75227986186186180,.398129230356804812e-7,.408140103553098908e-3,.400449243426075616e-3,.230247503735471107e-3
1.80063279629629625,.493876509666475978e-7,.445827349798732717e-3,.433652574788538842e-3,.247730291872493935e-3
1.85117554504504511,.614806702468559606e-7,.487788676352607993e-3,.470191147150131339e-3,.266807372970228360e-3
1.90059032032032027,.757171296101743254e-7,.531446228281556941e-3,.507760295002141534e-3,.286257523572621721e-3
1.95232301051051049,.936135337969385258e-7,.580045465135794309e-3,.549085358652031947e-3,.307471874557533459e-3
2.00214773973973958,.114218934003929317e-6,.629752612627879440e-3,.590849706584970391e-3,.328732351631874479e-3
2.05310072172172164,.139260992720401326e-6,.683633999414542232e-3,.635587458021920804e-3,.351319341161110540e-3
2.10363178728728739,.168676136566715478e-6,.740219178012139502e-3,.682013466507085542e-3,.374566915588107723e-3
2.15006458858858851,.200318972534329889e-6,.795071751879496331e-3,.726509578126530880e-3,.396675861907463891e-3
